snr,attack,threshold,n_flagged,n_total,n_fp,n_clean,fpr,detection_rate,roc_auc,pr_auc,detection_rate_at_5pct_fpr
0,non_adaptive,2.8133453488349915,6,30,6,30,0.2,0.2,0.5288888888888889,0.5556112217346135,0.1
0,adaptive,2.8133453488349915,6,30,6,30,0.2,0.2,0.5155555555555555,0.5494880831628927,0.1
5,non_adaptive,1.0223938286304473,2,30,2,30,0.06666666666666667,0.06666666666666667,0.5800000000000001,0.5891819489485484,0.06666666666666667
5,adaptive,1.0223938286304473,2,30,2,30,0.06666666666666667,0.06666666666666667,0.5388888888888889,0.5583442213303965,0.06666666666666667
10,non_adaptive,0.4512897118926048,3,30,1,30,0.03333333333333333,0.1,0.6755555555555556,0.6654592721964945,0.16666666666666666
10,adaptive,0.4512897118926048,1,30,1,30,0.03333333333333333,0.03333333333333333,0.5744444444444444,0.5939809061876457,0.06666666666666667
15,non_adaptive,0.26997052878141403,11,30,0,30,0.0,0.36666666666666664,0.8033333333333333,0.8208708709061757,0.4
15,adaptive,0.26997052878141403,1,30,0,30,0.0,0.03333333333333333,0.5844444444444444,0.6101212532069903,0.1
20,non_adaptive,0.2130713567137718,14,30,1,30,0.03333333333333333,0.4666666666666667,0.8966666666666666,0.9100276319387652,0.5333333333333333
20,adaptive,0.2130713567137718,2,30,1,30,0.03333333333333333,0.06666666666666667,0.6233333333333333,0.6388408178946635,0.1
25,non_adaptive,0.19404689520597457,24,30,0,30,0.0,0.8,0.9822222222222223,0.9839385231626612,0.8666666666666667
25,adaptive,0.19404689520597457,4,30,0,30,0.0,0.13333333333333333,0.6611111111111111,0.7053172912754404,0.2
30,non_adaptive,0.18800207898020743,30,30,1,30,0.03333333333333333,1.0,0.9911111111111112,0.990234877188344,1.0
30,adaptive,0.18800207898020743,5,30,1,30,0.03333333333333333,0.16666666666666666,0.7411111111111112,0.7252806064915038,0.2
