model,trained_on,snr,attack,bits_per_frame,seen_in_training,roc_auc,auc_ci_low,auc_ci_high,fpr,detection_rate,n_per_class
cnn_seen_blind,non_adaptive+adaptive,0,non_adaptive,32,True,0.5105,0.452879,0.570284,0.035,0.04,200
cnn_seen_blind,non_adaptive+adaptive,0,adaptive,32,True,0.503475,0.450997,0.562809,0.035,0.035,200
cnn_seen_blind,non_adaptive+adaptive,0,band_limited_adaptive,32,False,0.499775,0.445788,0.558989,0.035,0.035,200
cnn_seen_blind,non_adaptive+adaptive,0,adaptive,8,False,0.501475,0.440723,0.557682,0.05,0.05,200
cnn_seen_blind,non_adaptive+adaptive,0,adaptive,128,False,0.5108,0.455361,0.565757,0.05,0.055,200
cnn_seen_blind,non_adaptive+adaptive,0,adaptive,256,False,0.510575,0.453149,0.564381,0.05,0.045,200
cnn_seen_blind,non_adaptive+adaptive,5,non_adaptive,32,True,0.50595,0.449662,0.564552,0.045,0.045,200
cnn_seen_blind,non_adaptive+adaptive,5,adaptive,32,True,0.501575,0.448422,0.562431,0.045,0.045,200
cnn_seen_blind,non_adaptive+adaptive,5,band_limited_adaptive,32,False,0.50005,0.444485,0.558058,0.045,0.045,200
cnn_seen_blind,non_adaptive+adaptive,5,adaptive,8,False,0.500263,0.445873,0.556072,0.085,0.085,200
cnn_seen_blind,non_adaptive+adaptive,5,adaptive,128,False,0.498925,0.444674,0.553113,0.085,0.085,200
cnn_seen_blind,non_adaptive+adaptive,5,adaptive,256,False,0.498088,0.442671,0.552572,0.085,0.085,200
cnn_seen_blind,non_adaptive+adaptive,10,non_adaptive,32,True,0.639,0.586838,0.693033,0.065,0.2,200
cnn_seen_blind,non_adaptive+adaptive,10,adaptive,32,True,0.52025,0.461644,0.57475,0.065,0.075,200
cnn_seen_blind,non_adaptive+adaptive,10,band_limited_adaptive,32,False,0.49985,0.442972,0.553714,0.065,0.065,200
cnn_seen_blind,non_adaptive+adaptive,10,adaptive,8,False,0.506025,0.45047,0.561811,0.05,0.05,200
cnn_seen_blind,non_adaptive+adaptive,10,adaptive,128,False,0.49315,0.438144,0.546683,0.05,0.045,200
cnn_seen_blind,non_adaptive+adaptive,10,adaptive,256,False,0.501138,0.44241,0.561726,0.05,0.05,200
cnn_seen_blind,non_adaptive+adaptive,15,non_adaptive,32,True,0.988775,0.979674,0.996001,0.065,0.98,200
cnn_seen_blind,non_adaptive+adaptive,15,adaptive,32,True,0.582125,0.525346,0.639481,0.065,0.11,200
cnn_seen_blind,non_adaptive+adaptive,15,band_limited_adaptive,32,False,0.49995,0.446046,0.555594,0.065,0.065,200
cnn_seen_blind,non_adaptive+adaptive,15,adaptive,8,False,0.53845,0.480864,0.59697,0.065,0.08,200
cnn_seen_blind,non_adaptive+adaptive,15,adaptive,128,False,0.511238,0.449947,0.568207,0.065,0.065,200
cnn_seen_blind,non_adaptive+adaptive,15,adaptive,256,False,0.508112,0.449582,0.563986,0.065,0.065,200
cnn_seen_blind,non_adaptive+adaptive,20,non_adaptive,32,True,1.0,1.0,1.0,0.06,1.0,200
cnn_seen_blind,non_adaptive+adaptive,20,adaptive,32,True,0.96215,0.944647,0.978026,0.06,0.86,200
cnn_seen_blind,non_adaptive+adaptive,20,band_limited_adaptive,32,False,0.50015,0.444324,0.556196,0.06,0.06,200
cnn_seen_blind,non_adaptive+adaptive,20,adaptive,8,False,0.8785,0.845449,0.908579,0.045,0.58,200
cnn_seen_blind,non_adaptive+adaptive,20,adaptive,128,False,0.601675,0.547969,0.660374,0.045,0.09,200
cnn_seen_blind,non_adaptive+adaptive,20,adaptive,256,False,0.53825,0.479049,0.597529,0.045,0.05,200
cnn_seen_blind,non_adaptive+adaptive,25,non_adaptive,32,True,1.0,1.0,1.0,0.045,1.0,200
cnn_seen_blind,non_adaptive+adaptive,25,adaptive,32,True,0.99995,0.99975,1.0,0.045,1.0,200
cnn_seen_blind,non_adaptive+adaptive,25,band_limited_adaptive,32,False,0.500675,0.444849,0.558425,0.045,0.045,200
cnn_seen_blind,non_adaptive+adaptive,25,adaptive,8,False,0.98695,0.976971,0.995077,0.045,0.945,200
cnn_seen_blind,non_adaptive+adaptive,25,adaptive,128,False,0.722825,0.675544,0.771737,0.045,0.225,200
cnn_seen_blind,non_adaptive+adaptive,25,adaptive,256,False,0.61485,0.558189,0.665789,0.045,0.11,200
cnn_seen_blind,non_adaptive+adaptive,30,non_adaptive,32,True,1.0,1.0,1.0,0.06,1.0,200
cnn_seen_blind,non_adaptive+adaptive,30,adaptive,32,True,1.0,1.0,1.0,0.06,1.0,200
cnn_seen_blind,non_adaptive+adaptive,30,band_limited_adaptive,32,False,0.4999,0.4474,0.558529,0.06,0.055,200
cnn_seen_blind,non_adaptive+adaptive,30,adaptive,8,False,0.99615,0.988999,0.99985,0.075,0.995,200
cnn_seen_blind,non_adaptive+adaptive,30,adaptive,128,False,0.758825,0.710672,0.801779,0.075,0.365,200
cnn_seen_blind,non_adaptive+adaptive,30,adaptive,256,False,0.618025,0.560439,0.671052,0.075,0.125,200
cnn_seen_allocation,non_adaptive+adaptive,0,non_adaptive,32,True,0.504675,0.451632,0.565076,0.055,0.055,200
cnn_seen_allocation,non_adaptive+adaptive,0,adaptive,32,True,0.501013,0.439671,0.558702,0.055,0.055,200
cnn_seen_allocation,non_adaptive+adaptive,0,band_limited_adaptive,32,False,0.499275,0.44485,0.555475,0.055,0.055,200
cnn_seen_allocation,non_adaptive+adaptive,0,adaptive,8,False,0.50085,0.445109,0.559356,0.04,0.04,200
cnn_seen_allocation,non_adaptive+adaptive,0,adaptive,128,False,0.5079,0.452125,0.566434,0.04,0.04,200
cnn_seen_allocation,non_adaptive+adaptive,0,adaptive,256,False,0.503575,0.443798,0.559901,0.04,0.04,200
cnn_seen_allocation,non_adaptive+adaptive,5,non_adaptive,32,True,0.5075,0.450224,0.564178,0.05,0.05,200
cnn_seen_allocation,non_adaptive+adaptive,5,adaptive,32,True,0.502225,0.447332,0.558077,0.05,0.05,200
cnn_seen_allocation,non_adaptive+adaptive,5,band_limited_adaptive,32,False,0.499613,0.439808,0.553492,0.05,0.05,200
cnn_seen_allocation,non_adaptive+adaptive,5,adaptive,8,False,0.500425,0.442161,0.556644,0.04,0.045,200
cnn_seen_allocation,non_adaptive+adaptive,5,adaptive,128,False,0.50155,0.444739,0.554751,0.04,0.04,200
cnn_seen_allocation,non_adaptive+adaptive,5,adaptive,256,False,0.501675,0.448273,0.554328,0.04,0.04,200
cnn_seen_allocation,non_adaptive+adaptive,10,non_adaptive,32,True,0.755313,0.711143,0.798928,0.05,0.29,200
cnn_seen_allocation,non_adaptive+adaptive,10,adaptive,32,True,0.518787,0.45652,0.578173,0.05,0.055,200
cnn_seen_allocation,non_adaptive+adaptive,10,band_limited_adaptive,32,False,0.500537,0.442974,0.554382,0.05,0.05,200
cnn_seen_allocation,non_adaptive+adaptive,10,adaptive,8,False,0.499988,0.443943,0.556217,0.05,0.05,200
cnn_seen_allocation,non_adaptive+adaptive,10,adaptive,128,False,0.495825,0.442429,0.554057,0.05,0.05,200
cnn_seen_allocation,non_adaptive+adaptive,10,adaptive,256,False,0.500175,0.439672,0.559013,0.05,0.05,200
cnn_seen_allocation,non_adaptive+adaptive,15,non_adaptive,32,True,0.998275,0.9952,0.999976,0.06,0.995,200
cnn_seen_allocation,non_adaptive+adaptive,15,adaptive,32,True,0.66935,0.616283,0.718732,0.06,0.16,200
cnn_seen_allocation,non_adaptive+adaptive,15,band_limited_adaptive,32,False,0.499412,0.443646,0.556927,0.06,0.06,200
cnn_seen_allocation,non_adaptive+adaptive,15,adaptive,8,False,0.555138,0.504364,0.612268,0.075,0.13,200
cnn_seen_allocation,non_adaptive+adaptive,15,adaptive,128,False,0.505437,0.450298,0.563633,0.075,0.075,200
cnn_seen_allocation,non_adaptive+adaptive,15,adaptive,256,False,0.5051,0.444288,0.557553,0.075,0.07,200
cnn_seen_allocation,non_adaptive+adaptive,20,non_adaptive,32,True,1.0,1.0,1.0,0.065,1.0,200
cnn_seen_allocation,non_adaptive+adaptive,20,adaptive,32,True,0.99265,0.982741,0.998501,0.065,0.98,200
cnn_seen_allocation,non_adaptive+adaptive,20,band_limited_adaptive,32,False,0.509775,0.450366,0.564401,0.065,0.07,200
cnn_seen_allocation,non_adaptive+adaptive,20,adaptive,8,False,0.944825,0.920736,0.964279,0.02,0.735,200
cnn_seen_allocation,non_adaptive+adaptive,20,adaptive,128,False,0.6098,0.552909,0.660145,0.02,0.07,200
cnn_seen_allocation,non_adaptive+adaptive,20,adaptive,256,False,0.522975,0.466016,0.580526,0.02,0.025,200
cnn_seen_allocation,non_adaptive+adaptive,25,non_adaptive,32,True,1.0,1.0,1.0,0.035,1.0,200
cnn_seen_allocation,non_adaptive+adaptive,25,adaptive,32,True,1.0,1.0,1.0,0.035,1.0,200
cnn_seen_allocation,non_adaptive+adaptive,25,band_limited_adaptive,32,False,0.716775,0.668627,0.766782,0.035,0.24,200
cnn_seen_allocation,non_adaptive+adaptive,25,adaptive,8,False,0.9998,0.99925,1.0,0.035,0.995,200
cnn_seen_allocation,non_adaptive+adaptive,25,adaptive,128,False,0.91515,0.886195,0.939379,0.035,0.475,200
cnn_seen_allocation,non_adaptive+adaptive,25,adaptive,256,False,0.693875,0.643166,0.745254,0.035,0.12,200
cnn_seen_allocation,non_adaptive+adaptive,30,non_adaptive,32,True,1.0,1.0,1.0,0.085,1.0,200
cnn_seen_allocation,non_adaptive+adaptive,30,adaptive,32,True,1.0,1.0,1.0,0.085,1.0,200
cnn_seen_allocation,non_adaptive+adaptive,30,band_limited_adaptive,32,False,0.96725,0.949959,0.981709,0.085,0.905,200
cnn_seen_allocation,non_adaptive+adaptive,30,adaptive,8,False,1.0,1.0,1.0,0.065,1.0,200
cnn_seen_allocation,non_adaptive+adaptive,30,adaptive,128,False,0.992575,0.984697,0.997926,0.065,0.975,200
cnn_seen_allocation,non_adaptive+adaptive,30,adaptive,256,False,0.832125,0.791021,0.868853,0.065,0.495,200
cnn_nonadapt_blind,non_adaptive,0,non_adaptive,32,True,0.5002,0.441323,0.559141,0.075,0.07,200
cnn_nonadapt_blind,non_adaptive,0,adaptive,32,False,0.50115,0.444609,0.554779,0.075,0.07,200
cnn_nonadapt_blind,non_adaptive,0,band_limited_adaptive,32,False,0.500375,0.445213,0.559341,0.075,0.075,200
cnn_nonadapt_blind,non_adaptive,0,adaptive,8,False,0.501575,0.448353,0.559113,0.025,0.02,200
cnn_nonadapt_blind,non_adaptive,0,adaptive,128,False,0.50265,0.445111,0.561014,0.025,0.025,200
cnn_nonadapt_blind,non_adaptive,0,adaptive,256,False,0.49925,0.438871,0.557579,0.025,0.025,200
cnn_nonadapt_blind,non_adaptive,5,non_adaptive,32,True,0.50485,0.449248,0.561852,0.05,0.055,200
cnn_nonadapt_blind,non_adaptive,5,adaptive,32,False,0.50145,0.445013,0.553084,0.05,0.055,200
cnn_nonadapt_blind,non_adaptive,5,band_limited_adaptive,32,False,0.50025,0.444848,0.558595,0.05,0.05,200
cnn_nonadapt_blind,non_adaptive,5,adaptive,8,False,0.502075,0.444073,0.559634,0.06,0.06,200
cnn_nonadapt_blind,non_adaptive,5,adaptive,128,False,0.50215,0.443088,0.561312,0.06,0.06,200
cnn_nonadapt_blind,non_adaptive,5,adaptive,256,False,0.50735,0.446689,0.562246,0.06,0.06,200
cnn_nonadapt_blind,non_adaptive,10,non_adaptive,32,True,0.667775,0.61042,0.717745,0.04,0.18,200
cnn_nonadapt_blind,non_adaptive,10,adaptive,32,False,0.511175,0.454465,0.569521,0.04,0.05,200
cnn_nonadapt_blind,non_adaptive,10,band_limited_adaptive,32,False,0.50025,0.443624,0.55367,0.04,0.04,200
cnn_nonadapt_blind,non_adaptive,10,adaptive,8,False,0.505,0.450697,0.562171,0.055,0.055,200
cnn_nonadapt_blind,non_adaptive,10,adaptive,128,False,0.50415,0.445321,0.561382,0.055,0.055,200
cnn_nonadapt_blind,non_adaptive,10,adaptive,256,False,0.50345,0.448178,0.563542,0.055,0.055,200
cnn_nonadapt_blind,non_adaptive,15,non_adaptive,32,True,0.998975,0.997225,0.99995,0.015,0.985,200
cnn_nonadapt_blind,non_adaptive,15,adaptive,32,False,0.617175,0.562305,0.670914,0.015,0.065,200
cnn_nonadapt_blind,non_adaptive,15,band_limited_adaptive,32,False,0.500025,0.441472,0.555012,0.015,0.015,200
cnn_nonadapt_blind,non_adaptive,15,adaptive,8,False,0.54185,0.488928,0.597232,0.025,0.055,200
cnn_nonadapt_blind,non_adaptive,15,adaptive,128,False,0.52075,0.461298,0.577171,0.025,0.03,200
cnn_nonadapt_blind,non_adaptive,15,adaptive,256,False,0.5026,0.444974,0.557204,0.025,0.025,200
cnn_nonadapt_blind,non_adaptive,20,non_adaptive,32,True,1.0,1.0,1.0,0.04,1.0,200
cnn_nonadapt_blind,non_adaptive,20,adaptive,32,False,0.8359,0.795357,0.875749,0.04,0.495,200
cnn_nonadapt_blind,non_adaptive,20,band_limited_adaptive,32,False,0.500725,0.444038,0.557865,0.04,0.04,200
cnn_nonadapt_blind,non_adaptive,20,adaptive,8,False,0.7019,0.647672,0.750602,0.065,0.285,200
cnn_nonadapt_blind,non_adaptive,20,adaptive,128,False,0.5357,0.479318,0.591604,0.065,0.07,200
cnn_nonadapt_blind,non_adaptive,20,adaptive,256,False,0.525162,0.468324,0.577594,0.065,0.065,200
cnn_nonadapt_blind,non_adaptive,25,non_adaptive,32,True,1.0,1.0,1.0,0.055,1.0,200
cnn_nonadapt_blind,non_adaptive,25,adaptive,32,False,0.94375,0.921424,0.963452,0.055,0.84,200
cnn_nonadapt_blind,non_adaptive,25,band_limited_adaptive,32,False,0.498675,0.442655,0.550479,0.055,0.055,200
cnn_nonadapt_blind,non_adaptive,25,adaptive,8,False,0.80245,0.757786,0.841759,0.04,0.51,200
cnn_nonadapt_blind,non_adaptive,25,adaptive,128,False,0.556525,0.503369,0.60967,0.04,0.045,200
cnn_nonadapt_blind,non_adaptive,25,adaptive,256,False,0.53425,0.479373,0.590606,0.04,0.05,200
cnn_nonadapt_blind,non_adaptive,30,non_adaptive,32,True,1.0,1.0,1.0,0.055,1.0,200
cnn_nonadapt_blind,non_adaptive,30,adaptive,32,False,0.96285,0.945298,0.979325,0.055,0.875,200
cnn_nonadapt_blind,non_adaptive,30,band_limited_adaptive,32,False,0.50115,0.443649,0.558211,0.055,0.055,200
cnn_nonadapt_blind,non_adaptive,30,adaptive,8,False,0.906975,0.877372,0.933313,0.04,0.71,200
cnn_nonadapt_blind,non_adaptive,30,adaptive,128,False,0.534625,0.474892,0.591414,0.04,0.055,200
cnn_nonadapt_blind,non_adaptive,30,adaptive,256,False,0.5233,0.467194,0.580612,0.04,0.04,200
cnn_nonadapt_allocation,non_adaptive,0,non_adaptive,32,True,0.502613,0.448462,0.555181,0.07,0.07,200
cnn_nonadapt_allocation,non_adaptive,0,adaptive,32,False,0.501513,0.445902,0.554005,0.07,0.07,200
cnn_nonadapt_allocation,non_adaptive,0,band_limited_adaptive,32,False,0.499912,0.443228,0.559783,0.07,0.07,200
cnn_nonadapt_allocation,non_adaptive,0,adaptive,8,False,0.500675,0.443698,0.556179,0.06,0.055,200
cnn_nonadapt_allocation,non_adaptive,0,adaptive,128,False,0.503288,0.44372,0.559037,0.06,0.055,200
cnn_nonadapt_allocation,non_adaptive,0,adaptive,256,False,0.501212,0.447154,0.56225,0.06,0.055,200
cnn_nonadapt_allocation,non_adaptive,5,non_adaptive,32,True,0.5118,0.456444,0.569903,0.045,0.055,200
cnn_nonadapt_allocation,non_adaptive,5,adaptive,32,False,0.5035,0.448817,0.557112,0.045,0.045,200
cnn_nonadapt_allocation,non_adaptive,5,band_limited_adaptive,32,False,0.499563,0.445062,0.553675,0.045,0.045,200
cnn_nonadapt_allocation,non_adaptive,5,adaptive,8,False,0.501188,0.446545,0.557981,0.04,0.04,200
cnn_nonadapt_allocation,non_adaptive,5,adaptive,128,False,0.4997,0.444962,0.557121,0.04,0.04,200
cnn_nonadapt_allocation,non_adaptive,5,adaptive,256,False,0.505875,0.447996,0.561164,0.04,0.04,200
cnn_nonadapt_allocation,non_adaptive,10,non_adaptive,32,True,0.862225,0.825618,0.893451,0.05,0.495,200
cnn_nonadapt_allocation,non_adaptive,10,adaptive,32,False,0.526025,0.470037,0.584711,0.05,0.075,200
cnn_nonadapt_allocation,non_adaptive,10,band_limited_adaptive,32,False,0.49945,0.443896,0.556704,0.05,0.05,200
cnn_nonadapt_allocation,non_adaptive,10,adaptive,8,False,0.502862,0.448993,0.557194,0.05,0.055,200
cnn_nonadapt_allocation,non_adaptive,10,adaptive,128,False,0.503912,0.447764,0.559954,0.05,0.05,200
cnn_nonadapt_allocation,non_adaptive,10,adaptive,256,False,0.49725,0.442337,0.551608,0.05,0.055,200
cnn_nonadapt_allocation,non_adaptive,15,non_adaptive,32,True,1.0,1.0,1.0,0.07,1.0,200
cnn_nonadapt_allocation,non_adaptive,15,adaptive,32,False,0.681425,0.627571,0.733277,0.07,0.21,200
cnn_nonadapt_allocation,non_adaptive,15,band_limited_adaptive,32,False,0.4998,0.446165,0.557289,0.07,0.07,200
cnn_nonadapt_allocation,non_adaptive,15,adaptive,8,False,0.590375,0.53692,0.644154,0.055,0.15,200
cnn_nonadapt_allocation,non_adaptive,15,adaptive,128,False,0.5159,0.464849,0.574329,0.055,0.045,200
cnn_nonadapt_allocation,non_adaptive,15,adaptive,256,False,0.503625,0.447438,0.562459,0.055,0.055,200
cnn_nonadapt_allocation,non_adaptive,20,non_adaptive,32,True,1.0,1.0,1.0,0.035,1.0,200
cnn_nonadapt_allocation,non_adaptive,20,adaptive,32,False,0.980975,0.964224,0.993529,0.035,0.945,200
cnn_nonadapt_allocation,non_adaptive,20,band_limited_adaptive,32,False,0.506175,0.453772,0.559351,0.035,0.055,200
cnn_nonadapt_allocation,non_adaptive,20,adaptive,8,False,0.916225,0.887973,0.9418,0.05,0.76,200
cnn_nonadapt_allocation,non_adaptive,20,adaptive,128,False,0.606175,0.548272,0.661816,0.05,0.11,200
cnn_nonadapt_allocation,non_adaptive,20,adaptive,256,False,0.520075,0.46849,0.572178,0.05,0.045,200
cnn_nonadapt_allocation,non_adaptive,25,non_adaptive,32,True,1.0,1.0,1.0,0.07,1.0,200
cnn_nonadapt_allocation,non_adaptive,25,adaptive,32,False,0.994775,0.983799,1.0,0.07,0.995,200
cnn_nonadapt_allocation,non_adaptive,25,band_limited_adaptive,32,False,0.54975,0.490739,0.60553,0.07,0.11,200
cnn_nonadapt_allocation,non_adaptive,25,adaptive,8,False,0.9756,0.95644,0.9908,0.075,0.95,200
cnn_nonadapt_allocation,non_adaptive,25,adaptive,128,False,0.739387,0.689392,0.782476,0.075,0.35,200
cnn_nonadapt_allocation,non_adaptive,25,adaptive,256,False,0.531825,0.475168,0.58948,0.075,0.085,200
cnn_nonadapt_allocation,non_adaptive,30,non_adaptive,32,True,1.0,1.0,1.0,0.045,1.0,200
cnn_nonadapt_allocation,non_adaptive,30,adaptive,32,False,1.0,1.0,1.0,0.045,1.0,200
cnn_nonadapt_allocation,non_adaptive,30,band_limited_adaptive,32,False,0.62915,0.571562,0.681303,0.045,0.17,200
cnn_nonadapt_allocation,non_adaptive,30,adaptive,8,False,0.9985,0.996075,0.99995,0.04,0.99,200
cnn_nonadapt_allocation,non_adaptive,30,adaptive,128,False,0.843025,0.805991,0.878413,0.04,0.475,200
cnn_nonadapt_allocation,non_adaptive,30,adaptive,256,False,0.532775,0.478045,0.585618,0.04,0.07,200
