model,epoch,loss,val_loss,val_auc_crops
cnn_seen_blind,1,0.639418,0.628239,0.573263
cnn_seen_blind,2,0.538831,0.596277,0.668756
cnn_seen_blind,3,0.374318,0.368618,0.874993
cnn_seen_blind,4,0.352875,0.378116,0.860993
cnn_seen_blind,5,0.341048,0.354998,0.88349
cnn_seen_blind,6,0.332307,0.348629,0.879907
cnn_seen_blind,7,0.323959,0.350296,0.88419
cnn_seen_blind,8,0.315669,0.339407,0.89425
cnn_seen_blind,9,0.307267,0.330622,0.895126
cnn_seen_blind,10,0.298405,0.339933,0.896579
cnn_seen_blind,11,0.291627,0.394195,0.883079
cnn_seen_blind,12,0.288603,0.409627,0.883617
cnn_seen_blind,13,0.283705,0.409515,0.868563
cnn_seen_blind,14,0.273595,0.441108,0.850331
cnn_seen_blind,15,0.259864,0.406661,0.874427
cnn_seen_allocation,1,0.639125,0.648925,0.572359
cnn_seen_allocation,2,0.440965,0.371212,0.871527
cnn_seen_allocation,3,0.334606,0.335733,0.891988
cnn_seen_allocation,4,0.321847,0.313488,0.897073
cnn_seen_allocation,5,0.309779,0.315228,0.901769
cnn_seen_allocation,6,0.301106,0.310641,0.906481
cnn_seen_allocation,7,0.293264,0.321986,0.908247
cnn_seen_allocation,8,0.28411,0.326207,0.908614
cnn_seen_allocation,9,0.274491,0.329441,0.905705
cnn_seen_allocation,10,0.26653,0.332321,0.905615
cnn_seen_allocation,11,0.257648,0.336487,0.906937
cnn_seen_allocation,12,0.250787,0.339424,0.904712
cnn_seen_allocation,13,0.238192,0.353219,0.891507
cnn_seen_allocation,14,0.229732,0.366649,0.887021
cnn_seen_allocation,15,0.213665,0.422271,0.880624
cnn_nonadapt_blind,1,0.558577,1.114661,0.650451
cnn_nonadapt_blind,2,0.297952,0.373664,0.89811
cnn_nonadapt_blind,3,0.278523,0.289152,0.918843
cnn_nonadapt_blind,4,0.265173,0.284074,0.919599
cnn_nonadapt_blind,5,0.257102,0.299794,0.928386
cnn_nonadapt_blind,6,0.248874,0.299051,0.924362
cnn_nonadapt_blind,7,0.243021,0.285954,0.928315
cnn_nonadapt_blind,8,0.233664,0.277554,0.925582
cnn_nonadapt_blind,9,0.226551,0.269747,0.929769
cnn_nonadapt_blind,10,0.220881,0.275929,0.925636
cnn_nonadapt_blind,11,0.219072,0.298586,0.927527
cnn_nonadapt_blind,12,0.218224,0.281749,0.930188
cnn_nonadapt_blind,13,0.216141,0.278185,0.931
cnn_nonadapt_blind,14,0.212017,0.31765,0.920695
cnn_nonadapt_blind,15,0.200548,0.296219,0.925341
cnn_nonadapt_allocation,1,0.479019,0.504804,0.846585
cnn_nonadapt_allocation,2,0.264499,0.299612,0.926003
cnn_nonadapt_allocation,3,0.247702,0.2369,0.943688
cnn_nonadapt_allocation,4,0.236076,0.229172,0.949712
cnn_nonadapt_allocation,5,0.226895,0.226266,0.947193
cnn_nonadapt_allocation,6,0.221111,0.228774,0.946059
cnn_nonadapt_allocation,7,0.215517,0.230898,0.945426
cnn_nonadapt_allocation,8,0.210318,0.232963,0.946295
cnn_nonadapt_allocation,9,0.206189,0.233714,0.944757
cnn_nonadapt_allocation,10,0.202166,0.237951,0.944838
cnn_nonadapt_allocation,11,0.192596,0.240463,0.943199
cnn_nonadapt_allocation,12,0.188177,0.251128,0.94278
cnn_nonadapt_allocation,13,0.180346,0.251533,0.945945
cnn_nonadapt_allocation,14,0.174619,0.237867,0.945581
cnn_nonadapt_allocation,15,0.168374,0.277887,0.939011
