slice,subcarrier_spacing_khz,guard_subcarriers,isbi_power,sinr_db,qpsk_ber_estimate,cancellation_efficiency
URLLC,60,0,0.0009075,19.622747783411423,4.4749333867470175e-42,0.0
eMBB,30,0,0.0006908125,19.70989287227387,6.909696675218582e-43,0.0
mMTC,15,0,0.0009695,19.59813167520071,7.53436163580789e-42,0.0
URLLC,60,0,0.0009075,19.902570522691057,9.7067245297488e-45,0.75
eMBB,30,0,0.0006908125,19.925636295468426,5.751619180330242e-45,0.75
mMTC,15,0,0.0009695,19.89599327559492,1.1263230457074163e-44,0.75
URLLC,60,2,4.9500000000000004e-05,19.97855545471632,1.713091342696905e-45,0.0
eMBB,30,2,3.7500000000000003e-05,19.983744417132627,1.5200529643367654e-45,0.0
mMTC,15,2,4.866666666666667e-05,19.978915599076213,1.6989431111502356e-45,0.0
URLLC,60,2,4.9500000000000004e-05,19.99462892845195,1.1823480772774337e-45,0.75
eMBB,30,2,3.7500000000000003e-05,19.99593039656084,1.1473089159422133e-45,0.75
mMTC,15,2,4.866666666666667e-05,19.994719295581017,1.1798812822157182e-45,0.75
