slice,injector,offset_over_sigma,offset_ms,mean_abs_perturbation_ms,detection_rate,det_ci_low,det_ci_high,far,far_ci_low,far_ci_high,covert_bits_per_s
URLLC,non_adaptive,0.1,1.02386,0.512365,0.988,0.974065,0.995584,0.008,0.00218391,0.0203556,68.0251
URLLC,non_adaptive,0.25,2.55964,1.27677,1,0.992649,1,0.008,0.00218391,0.0203556,64.9086
URLLC,non_adaptive,0.5,5.11928,2.56056,1,0.992649,1,0.008,0.00218391,0.0203556,59.8939
URLLC,non_adaptive,1,10.2386,5.09,1,0.992649,1,0.008,0.00218391,0.0203556,52.006
URLLC,non_adaptive,2,20.4771,10.2541,1,0.992649,1,0.008,0.00218391,0.0203556,40.8924
URLLC,adaptive,0.1,1.02386,0.476518,0.97,0.951002,0.983114,0.008,0.00218391,0.0203556,68.2031
URLLC,adaptive,0.25,2.55964,1.19537,1,0.992649,1,0.008,0.00218391,0.0203556,65.1068
URLLC,adaptive,0.5,5.11928,2.38652,1,0.992649,1,0.008,0.00218391,0.0203556,60.5721
URLLC,adaptive,1,10.2386,4.75853,1,0.992649,1,0.008,0.00218391,0.0203556,52.9701
URLLC,adaptive,2,20.4771,9.50791,1,0.992649,1,0.008,0.00218391,0.0203556,42.2584
eMBB,non_adaptive,0.1,2.57264,1.29016,1,0.992649,1,0.016,0.00693232,0.031282,46.4114
eMBB,non_adaptive,0.25,6.4316,3.217,1,0.992649,1,0.016,0.00693232,0.031282,42.8096
eMBB,non_adaptive,0.5,12.8632,6.4244,1,0.992649,1,0.016,0.00693232,0.031282,37.3508
eMBB,non_adaptive,1,25.7264,12.902,1,0.992649,1,0.016,0.00693232,0.031282,30.1561
eMBB,non_adaptive,2,51.4528,25.7226,1,0.992649,1,0.016,0.00693232,0.031282,21.7368
eMBB,adaptive,0.1,2.57264,1.19838,1,0.992649,1,0.016,0.00693232,0.031282,46.1851
eMBB,adaptive,0.25,6.4316,3.00414,1,0.992649,1,0.016,0.00693232,0.031282,42.8269
eMBB,adaptive,0.5,12.8632,5.99824,1,0.992649,1,0.016,0.00693232,0.031282,37.9868
eMBB,adaptive,1,25.7264,11.9928,1,0.992649,1,0.016,0.00693232,0.031282,30.9485
eMBB,adaptive,2,51.4528,23.9814,1,0.992649,1,0.016,0.00693232,0.031282,22.5324
mMTC,non_adaptive,0.1,4.10887,2.0549,1,0.992649,1,0.016,0.00693232,0.031282,34.9892
mMTC,non_adaptive,0.25,10.2722,5.14568,1,0.992649,1,0.016,0.00693232,0.031282,31.535
mMTC,non_adaptive,0.5,20.5444,10.1893,1,0.992649,1,0.016,0.00693232,0.031282,27.2285
mMTC,non_adaptive,1,41.0887,20.5345,1,0.992649,1,0.016,0.00693232,0.031282,21.2541
mMTC,non_adaptive,2,82.1775,41.0948,1,0.992649,1,0.016,0.00693232,0.031282,14.7926
mMTC,adaptive,0.1,4.10887,1.91285,1,0.992649,1,0.016,0.00693232,0.031282,35.3524
mMTC,adaptive,0.25,10.2722,4.78713,1,0.992649,1,0.016,0.00693232,0.031282,32.1785
mMTC,adaptive,0.5,20.5444,9.57926,1,0.992649,1,0.016,0.00693232,0.031282,27.7514
mMTC,adaptive,1,41.0887,19.2159,1,0.992649,1,0.016,0.00693232,0.031282,21.8449
mMTC,adaptive,2,82.1775,38.224,1,0.992649,1,0.016,0.00693232,0.031282,15.4637
