part,slice,injector,steady_jitter_frac,offset_over_sigma,offset_ms,offset_over_steady_sd,sigma_ms_at_this_jitter,mean_abs_perturbation_ms,detection_rate,det_ci_low,det_ci_high,far,far_ci_low,far_ci_high,covert_bits_per_s,trials
a_offsets,URLLC,non_adaptive,0.05,0.002,0.020477,0.051193,10.270086,0.0102,0.044,0.027777,0.065861,0.024,0.012461,0.041548,70.48041,500
a_offsets,URLLC,non_adaptive,0.05,0.005,0.051193,0.127982,10.270086,0.025542,0.048,0.030993,0.070581,0.024,0.012461,0.041548,70.660085,500
a_offsets,URLLC,non_adaptive,0.05,0.01,0.102386,0.255964,10.270086,0.050918,0.056,0.03753,0.079921,0.024,0.012461,0.041548,70.535529,500
a_offsets,URLLC,non_adaptive,0.05,0.02,0.204771,0.511928,10.270086,0.10225,0.162,0.130783,0.197276,0.024,0.012461,0.041548,70.2236,500
a_offsets,URLLC,non_adaptive,0.05,0.05,0.511928,1.27982,10.270086,0.256213,0.836,0.800577,0.867389,0.024,0.012461,0.041548,69.480908,500
a_offsets,URLLC,non_adaptive,0.05,0.1,1.023856,2.559641,10.270086,0.512734,1.0,0.992649,1.0,0.024,0.012461,0.041548,68.253931,500
a_offsets,URLLC,adaptive,0.05,0.002,0.020477,0.051193,10.270086,0.009532,0.028,0.015391,0.046533,0.024,0.012461,0.041548,70.703657,500
a_offsets,URLLC,adaptive,0.05,0.005,0.051193,0.127982,10.270086,0.023828,0.05,0.032615,0.072928,0.024,0.012461,0.041548,70.195298,500
a_offsets,URLLC,adaptive,0.05,0.01,0.102386,0.255964,10.270086,0.047525,0.048,0.030993,0.070581,0.024,0.012461,0.041548,70.517937,500
a_offsets,URLLC,adaptive,0.05,0.02,0.204771,0.511928,10.270086,0.09569,0.138,0.108984,0.171375,0.024,0.012461,0.041548,70.256781,500
a_offsets,URLLC,adaptive,0.05,0.05,0.511928,1.27982,10.270086,0.238356,0.772,0.732675,0.808073,0.024,0.012461,0.041548,69.538505,500
a_offsets,URLLC,adaptive,0.05,0.1,1.023856,2.559641,10.270086,0.478055,1.0,0.992649,1.0,0.024,0.012461,0.041548,68.361653,500
b_jitter,URLLC,non_adaptive,0.05,0.01,0.102386,0.255964,10.270086,0.051236,0.062,0.042511,0.086853,0.024,0.012461,0.041548,70.610144,500
b_jitter,URLLC,non_adaptive,0.05,0.05,0.511928,1.27982,10.270086,0.255275,0.836,0.800577,0.867389,0.024,0.012461,0.041548,69.664225,500
b_jitter,URLLC,non_adaptive,0.05,0.1,1.023856,2.559641,10.270086,0.511191,1.0,0.992649,1.0,0.024,0.012461,0.041548,68.263662,500
b_jitter,URLLC,non_adaptive,0.1,0.01,0.102386,0.127982,10.362685,0.051158,0.024,0.012461,0.041548,0.018,0.008263,0.033894,70.36808,500
b_jitter,URLLC,non_adaptive,0.1,0.05,0.511928,0.63991,10.362685,0.25506,0.002,5.1e-05,0.011092,0.018,0.008263,0.033894,69.504518,500
b_jitter,URLLC,non_adaptive,0.1,0.1,1.023856,1.27982,10.362685,0.509935,0.174,0.14178,0.210131,0.018,0.008263,0.033894,68.52723,500
b_jitter,URLLC,non_adaptive,0.2,0.01,0.102386,0.063991,10.456562,0.051159,0.022,0.011032,0.039023,0.05,0.032615,0.072928,70.519181,500
b_jitter,URLLC,non_adaptive,0.2,0.05,0.511928,0.319955,10.456562,0.256363,0.006,0.001239,0.017434,0.05,0.032615,0.072928,69.377717,500
b_jitter,URLLC,non_adaptive,0.2,0.1,1.023856,0.63991,10.456562,0.512652,0.01,0.003255,0.023181,0.05,0.032615,0.072928,68.098231,500
b_jitter,URLLC,non_adaptive,0.5,0.01,0.102386,0.025596,10.959904,0.051442,0.012,0.004416,0.025935,0.012,0.004416,0.025935,70.630626,500
b_jitter,URLLC,non_adaptive,0.5,0.05,0.511928,0.127982,10.959904,0.256688,0.002,5.1e-05,0.011092,0.012,0.004416,0.025935,69.497517,500
b_jitter,URLLC,non_adaptive,0.5,0.1,1.023856,0.255964,10.959904,0.509921,0.006,0.001239,0.017434,0.012,0.004416,0.025935,67.873616,500
a_offsets,eMBB,non_adaptive,0.05,0.002,0.051453,0.205811,25.599837,0.025695,0.004,0.000485,0.014374,0.002,5.1e-05,0.011092,49.192508,500
a_offsets,eMBB,non_adaptive,0.05,0.005,0.128632,0.514528,25.599837,0.064289,0.0,0.0,0.007351,0.002,5.1e-05,0.011092,49.219054,500
a_offsets,eMBB,non_adaptive,0.05,0.01,0.257264,1.029056,25.599837,0.129419,0.002,5.1e-05,0.011092,0.002,5.1e-05,0.011092,48.660405,500
a_offsets,eMBB,non_adaptive,0.05,0.02,0.514528,2.058113,25.599837,0.257442,0.004,0.000485,0.014374,0.002,5.1e-05,0.011092,48.68916,500
a_offsets,eMBB,non_adaptive,0.05,0.05,1.286321,5.145282,25.599837,0.641565,0.752,0.711723,0.789267,0.002,5.1e-05,0.011092,47.746832,500
a_offsets,eMBB,non_adaptive,0.05,0.1,2.572641,10.290564,25.599837,1.285103,0.998,0.988908,0.999949,0.002,5.1e-05,0.011092,46.269684,500
a_offsets,eMBB,adaptive,0.05,0.002,0.051453,0.205811,25.599837,0.023999,0.002,5.1e-05,0.011092,0.002,5.1e-05,0.011092,49.630014,500
a_offsets,eMBB,adaptive,0.05,0.005,0.128632,0.514528,25.599837,0.05998,0.002,5.1e-05,0.011092,0.002,5.1e-05,0.011092,48.768929,500
a_offsets,eMBB,adaptive,0.05,0.01,0.257264,1.029056,25.599837,0.12022,0.0,0.0,0.007351,0.002,5.1e-05,0.011092,48.819915,500
a_offsets,eMBB,adaptive,0.05,0.02,0.514528,2.058113,25.599837,0.239767,0.008,0.002184,0.020356,0.002,5.1e-05,0.011092,48.725619,500
a_offsets,eMBB,adaptive,0.05,0.05,1.286321,5.145282,25.599837,0.598996,0.646,0.602317,0.687945,0.002,5.1e-05,0.011092,47.651412,500
a_offsets,eMBB,adaptive,0.05,0.1,2.572641,10.290564,25.599837,1.202051,0.99,0.976819,0.996745,0.002,5.1e-05,0.011092,46.24894,500
b_jitter,eMBB,non_adaptive,0.05,0.01,0.257264,1.029056,25.599837,0.128404,0.0,0.0,0.007351,0.002,5.1e-05,0.011092,48.788733,500
b_jitter,eMBB,non_adaptive,0.05,0.05,1.286321,5.145282,25.599837,0.643152,0.758,0.717997,0.794921,0.002,5.1e-05,0.011092,47.921725,500
b_jitter,eMBB,non_adaptive,0.05,0.1,2.572641,10.290564,25.599837,1.285995,0.996,0.985626,0.999515,0.002,5.1e-05,0.011092,46.241409,500
b_jitter,eMBB,non_adaptive,0.1,0.01,0.257264,0.514528,25.789243,0.128332,0.032,0.018399,0.051447,0.052,0.034246,0.075266,49.099017,500
b_jitter,eMBB,non_adaptive,0.1,0.05,1.286321,2.572641,25.789243,0.644721,0.174,0.14178,0.210131,0.052,0.034246,0.075266,47.958972,500
b_jitter,eMBB,non_adaptive,0.1,0.1,2.572641,5.145282,25.789243,1.287504,0.868,0.835146,0.89642,0.052,0.034246,0.075266,46.312198,500
b_jitter,eMBB,non_adaptive,0.2,0.01,0.257264,0.257264,25.587857,0.128829,0.006,0.001239,0.017434,0.03,0.016886,0.048998,48.737108,500
b_jitter,eMBB,non_adaptive,0.2,0.05,1.286321,1.286321,25.587857,0.641702,0.122,0.094619,0.153942,0.03,0.016886,0.048998,47.813899,500
b_jitter,eMBB,non_adaptive,0.2,0.1,2.572641,2.572641,25.587857,1.283251,0.958,0.936513,0.973816,0.03,0.016886,0.048998,46.138304,500
b_jitter,eMBB,non_adaptive,0.5,0.01,0.257264,0.102906,25.862293,0.128215,0.06,0.040844,0.084549,0.088,0.064668,0.116335,48.816933,500
b_jitter,eMBB,non_adaptive,0.5,0.05,1.286321,0.514528,25.862293,0.644524,0.038,0.023031,0.058707,0.088,0.064668,0.116335,47.84771,500
b_jitter,eMBB,non_adaptive,0.5,0.1,2.572641,1.029056,25.862293,1.289373,0.024,0.012461,0.041548,0.088,0.064668,0.116335,46.200523,500
a_offsets,mMTC,non_adaptive,0.05,0.002,0.082177,0.821775,41.279486,0.04106,0.012,0.004416,0.025935,0.002,5.1e-05,0.011092,37.839169,500
