snr,residual,attack,frames_L,groups,roc_auc,auc_ci_low,auc_ci_high,detection_at_5pct_fpr
0,level,adaptive,1,100,0.46440000000000003,0.382825,0.5378075,0.08
0,level,adaptive,2,100,0.5037,0.4244,0.5809099999999999,0.06
0,level,adaptive,4,100,0.5148,0.43337250000000005,0.5942,0.03
0,level,adaptive,8,100,0.5129,0.4355775,0.6009549999999999,0.03
0,level,adaptive,16,100,0.5101,0.4225575,0.5901225,0.07
0,allocation,adaptive,1,100,0.5263,0.45197500000000007,0.6082025000000001,0.04
0,allocation,adaptive,2,100,0.5352,0.45365,0.6135349999999999,0.02
0,allocation,adaptive,4,100,0.48219999999999996,0.40469000000000005,0.5576074999999999,0.03
0,allocation,adaptive,8,100,0.4551,0.3768925,0.5344374999999999,0.02
0,allocation,adaptive,16,100,0.44179999999999997,0.362095,0.5200575,0.04
5,level,adaptive,1,100,0.5062,0.426495,0.5871050000000001,0.06
5,level,adaptive,2,100,0.5076999999999999,0.4296975,0.59203,0.08
5,level,adaptive,4,100,0.49529999999999996,0.4147925,0.5723075,0.06
5,level,adaptive,8,100,0.48730000000000007,0.40467500000000006,0.5667125000000001,0.01
5,level,adaptive,16,100,0.4882,0.410585,0.5697274999999998,0.01
5,allocation,adaptive,1,100,0.5428999999999999,0.46268500000000007,0.6172300000000001,0.07
5,allocation,adaptive,2,100,0.5598000000000001,0.4838975,0.6418299999999999,0.06
5,allocation,adaptive,4,100,0.5650999999999999,0.47649250000000004,0.6415075,0.05
5,allocation,adaptive,8,100,0.5742999999999999,0.49598499999999995,0.652205,0.02
5,allocation,adaptive,16,100,0.5493,0.47268499999999997,0.628305,0.09
10,level,adaptive,1,100,0.4937,0.41119,0.57163,0.04
10,level,adaptive,2,100,0.5176000000000001,0.4382975,0.5946025,0.01
10,level,adaptive,4,100,0.559,0.4823925,0.640415,0.05
10,level,adaptive,8,100,0.6167,0.5402875,0.6893025,0.15
10,level,adaptive,16,100,0.6081000000000001,0.5274850000000001,0.6869,0.11
10,allocation,adaptive,1,100,0.494,0.41349749999999996,0.5798099999999999,0.13
10,allocation,adaptive,2,100,0.5291999999999999,0.45387999999999995,0.603125,0.06
10,allocation,adaptive,4,100,0.6075,0.530845,0.6844125000000001,0.12
10,allocation,adaptive,8,100,0.6918,0.6145725000000001,0.7605025000000001,0.1
10,allocation,adaptive,16,100,0.6996,0.6203799999999999,0.7710025000000001,0.19
15,level,adaptive,1,100,0.6611,0.5860949999999999,0.7350224999999999,0.18
15,level,adaptive,2,100,0.7318,0.659985,0.7959025000000001,0.3
15,level,adaptive,4,100,0.784,0.7212825,0.8470300000000001,0.42
15,level,adaptive,8,100,0.9082,0.8622925,0.945905,0.64
15,level,adaptive,16,100,0.9806999999999999,0.9636900000000002,0.9927,0.91
15,allocation,adaptive,1,100,0.7959000000000002,0.7342624999999999,0.855805,0.45
15,allocation,adaptive,2,100,0.8850000000000001,0.8348949999999999,0.926305,0.65
15,allocation,adaptive,4,100,0.9688,0.945595,0.9869,0.84
15,allocation,adaptive,8,100,0.981,0.9596975,0.9973,0.96
15,allocation,adaptive,16,100,0.9996999999999999,0.9987949999999999,1.0,1.0
20,level,adaptive,1,100,0.9941,0.9854975,0.9993999999999998,0.98
20,level,adaptive,2,100,0.9996999999999999,0.9987999999999999,1.0,1.0
20,level,adaptive,4,100,1.0,0.9999999999999999,1.0,1.0
20,level,adaptive,8,100,1.0,0.9999999999999999,1.0,1.0
20,level,adaptive,16,100,1.0,0.9999999999999999,1.0,1.0
20,allocation,adaptive,1,100,0.9999,0.9994,1.0,1.0
20,allocation,adaptive,2,100,1.0,0.9999999999999999,1.0,1.0
20,allocation,adaptive,4,100,1.0,0.9999999999999999,1.0,1.0
20,allocation,adaptive,8,100,1.0,0.9999999999999999,1.0,1.0
20,allocation,adaptive,16,100,1.0,0.9999999999999999,1.0,1.0
25,level,adaptive,1,100,1.0,0.9999999999999999,1.0,1.0
25,level,adaptive,2,100,1.0,0.9999999999999999,1.0,1.0
25,level,adaptive,4,100,1.0,0.9999999999999999,1.0,1.0
25,level,adaptive,8,100,1.0,0.9999999999999999,1.0,1.0
25,level,adaptive,16,100,1.0,0.9999999999999999,1.0,1.0
25,allocation,adaptive,1,100,1.0,0.9999999999999999,1.0,1.0
25,allocation,adaptive,2,100,1.0,0.9999999999999999,1.0,1.0
25,allocation,adaptive,4,100,1.0,0.9999999999999999,1.0,1.0
25,allocation,adaptive,8,100,1.0,0.9999999999999999,1.0,1.0
25,allocation,adaptive,16,100,1.0,0.9999999999999999,1.0,1.0
30,level,adaptive,1,100,1.0,0.9999999999999999,1.0,1.0
30,level,adaptive,2,100,1.0,0.9999999999999999,1.0,1.0
30,level,adaptive,4,100,1.0,0.9999999999999999,1.0,1.0
30,level,adaptive,8,100,1.0,0.9999999999999999,1.0,1.0
30,level,adaptive,16,100,1.0,0.9999999999999999,1.0,1.0
30,allocation,adaptive,1,100,1.0,0.9999999999999999,1.0,1.0
30,allocation,adaptive,2,100,1.0,0.9999999999999999,1.0,1.0
30,allocation,adaptive,4,100,1.0,0.9999999999999999,1.0,1.0
30,allocation,adaptive,8,100,1.0,0.9999999999999999,1.0,1.0
30,allocation,adaptive,16,100,1.0,0.9999999999999999,1.0,1.0
