snr,detector,attack,roc_auc,auc_ci_low,auc_ci_high,detection_at_5pct_fpr
0,cnn_ae_equivalent_masked_energy,non_adaptive,0.523,0.4657799999999999,0.5764775,0.065
0,cnn_ae_equivalent_masked_energy,adaptive,0.5088250000000001,0.45845937500000006,0.5637325,0.055
0,cnn_ae_equivalent_masked_energy,band_limited_adaptive,0.5001625000000001,0.4430215625,0.55681625,0.05
5,cnn_ae_equivalent_masked_energy,non_adaptive,0.558825,0.502078125,0.6170374999999999,0.07
5,cnn_ae_equivalent_masked_energy,adaptive,0.52225,0.4643675,0.57748,0.05
5,cnn_ae_equivalent_masked_energy,band_limited_adaptive,0.5009625,0.444920625,0.553941875,0.055
10,cnn_ae_equivalent_masked_energy,non_adaptive,0.6489,0.5972843750000001,0.7014775000000001,0.175
10,cnn_ae_equivalent_masked_energy,adaptive,0.544525,0.483404375,0.60156125,0.095
10,cnn_ae_equivalent_masked_energy,band_limited_adaptive,0.5021749999999999,0.44632937500000003,0.554875625,0.055
15,cnn_ae_equivalent_masked_energy,non_adaptive,0.7873,0.740399375,0.8280775,0.38
15,cnn_ae_equivalent_masked_energy,adaptive,0.5721250000000001,0.519066875,0.629233125,0.09
15,cnn_ae_equivalent_masked_energy,band_limited_adaptive,0.5050250000000001,0.44698375000000007,0.558481875,0.055
20,cnn_ae_equivalent_masked_energy,non_adaptive,0.8817499999999999,0.8473218749999999,0.913885,0.515
20,cnn_ae_equivalent_masked_energy,adaptive,0.6036750000000001,0.54746,0.657970625,0.095
20,cnn_ae_equivalent_masked_energy,band_limited_adaptive,0.5093000000000001,0.4513456250000001,0.56805125,0.055
25,cnn_ae_equivalent_masked_energy,non_adaptive,0.969125,0.9537168749999999,0.981958125,0.88
25,cnn_ae_equivalent_masked_energy,adaptive,0.6606,0.61014125,0.7114125,0.185
25,cnn_ae_equivalent_masked_energy,band_limited_adaptive,0.518475,0.45806937500000006,0.5782143750000001,0.065
30,cnn_ae_equivalent_masked_energy,non_adaptive,0.9881,0.976475,0.996076875,0.955
30,cnn_ae_equivalent_masked_energy,adaptive,0.7021,0.6512525,0.7508525000000001,0.19
30,cnn_ae_equivalent_masked_energy,band_limited_adaptive,0.522775,0.466614375,0.575750625,0.055
