snr,residual,attack,n_covert_bits,fraction_of_grid,mean_cells_changed,mean_abs_perturbation,total_perturbation_energy,roc_auc,auc_ci_low,auc_ci_high,fpr,detection_rate,det_ci_low,det_ci_high,n_clean,n_attack
10,allocation,non_adaptive,8,0.000625,8.0,0.5,2.0,0.58115,0.524273,0.637813,0.045,0.12,0.07842,0.173272,200,200
10,allocation,non_adaptive,32,0.0025,32.0,0.5,8.0,0.965175,0.947212,0.980964,0.045,0.885,0.832453,0.925687,200,200
10,allocation,non_adaptive,128,0.01,128.0,0.5,32.0,1.0,1.0,1.0,0.045,1.0,0.981725,1.0,200,200
10,allocation,non_adaptive,512,0.04,512.0,0.5,128.0,1.0,1.0,1.0,0.045,1.0,0.981725,1.0,200,200
10,allocation,non_adaptive,2048,0.16,2048.0,0.5,512.0,1.0,1.0,1.0,0.045,1.0,0.981725,1.0,200,200
10,allocation,adaptive,8,0.000625,8.0,0.299887,0.719514,0.507112,0.453996,0.563494,0.045,0.05,0.024234,0.090028,200,200
10,allocation,adaptive,32,0.0025,32.0,0.261968,2.230744,0.538338,0.484455,0.593854,0.045,0.075,0.042583,0.120684,200,200
10,allocation,adaptive,128,0.01,128.0,0.132755,2.306636,0.50945,0.456537,0.567074,0.045,0.055,0.027772,0.096278,200,200
10,allocation,adaptive,512,0.04,512.0,0.066399,2.308135,0.515588,0.463084,0.573584,0.045,0.05,0.024234,0.090028,200,200
10,allocation,adaptive,2048,0.16,2048.0,0.033195,2.307741,0.51855,0.462176,0.573007,0.045,0.045,0.02078,0.083703,200,200
10,allocation,band_limited_adaptive,8,0.000625,2.08,0.090454,0.026507,0.500112,0.446061,0.552104,0.045,0.045,0.02078,0.083703,200,200
10,allocation,band_limited_adaptive,32,0.0025,8.135,0.099253,0.104615,0.500012,0.44551,0.555991,0.045,0.045,0.02078,0.083703,200,200
10,allocation,band_limited_adaptive,128,0.01,33.235,0.087661,0.319687,0.500413,0.443932,0.555722,0.045,0.045,0.02078,0.083703,200,200
10,allocation,band_limited_adaptive,512,0.04,131.86,0.055342,0.459527,0.500737,0.4401,0.559391,0.045,0.045,0.02078,0.083703,200,200
10,allocation,band_limited_adaptive,2048,0.16,522.56,0.030475,0.523087,0.500962,0.442683,0.554034,0.045,0.045,0.02078,0.083703,200,200
10,level,non_adaptive,8,0.000625,8.0,0.5,2.0,0.541275,0.485571,0.591489,0.04,0.06,0.031384,0.102462,200,200
10,level,non_adaptive,32,0.0025,32.0,0.5,8.0,0.765275,0.712323,0.811639,0.04,0.4,0.331546,0.471464,200,200
10,level,non_adaptive,128,0.01,128.0,0.5,32.0,1.0,1.0,1.0,0.04,1.0,0.981725,1.0,200,200
10,level,non_adaptive,512,0.04,512.0,0.5,128.0,1.0,1.0,1.0,0.04,1.0,0.981725,1.0,200,200
10,level,non_adaptive,2048,0.16,2048.0,0.5,512.0,1.0,1.0,1.0,0.04,1.0,0.981725,1.0,200,200
10,level,adaptive,8,0.000625,8.0,0.299887,0.719514,0.509625,0.450202,0.567905,0.04,0.05,0.024234,0.090028,200,200
10,level,adaptive,32,0.0025,32.0,0.261968,2.230744,0.525075,0.466811,0.578464,0.04,0.04,0.017425,0.077292,200,200
10,level,adaptive,128,0.01,128.0,0.132755,2.306636,0.517912,0.464962,0.572363,0.04,0.055,0.027772,0.096278,200,200
10,level,adaptive,512,0.04,512.0,0.066399,2.308135,0.509137,0.453133,0.567767,0.04,0.05,0.024234,0.090028,200,200
10,level,adaptive,2048,0.16,2048.0,0.033195,2.307741,0.506,0.444722,0.564331,0.04,0.045,0.02078,0.083703,200,200
10,level,band_limited_adaptive,8,0.000625,2.08,0.090454,0.026507,0.5,0.445519,0.554193,0.04,0.04,0.017425,0.077292,200,200
10,level,band_limited_adaptive,32,0.0025,8.135,0.099253,0.104615,0.5,0.442844,0.554533,0.04,0.04,0.017425,0.077292,200,200
10,level,band_limited_adaptive,128,0.01,33.235,0.087661,0.319687,0.5,0.448843,0.550988,0.04,0.04,0.017425,0.077292,200,200
10,level,band_limited_adaptive,512,0.04,131.86,0.055342,0.459527,0.5,0.43984,0.559802,0.04,0.04,0.017425,0.077292,200,200
10,level,band_limited_adaptive,2048,0.16,522.56,0.030475,0.523087,0.5,0.444148,0.55444,0.04,0.04,0.017425,0.077292,200,200
15,allocation,non_adaptive,8,0.000625,8.0,0.5,2.0,0.980988,0.966959,0.993202,0.035,0.925,0.879316,0.957417,200,200
15,allocation,non_adaptive,32,0.0025,32.0,0.5,8.0,1.0,1.0,1.0,0.035,1.0,0.981725,1.0,200,200
15,allocation,non_adaptive,128,0.01,128.0,0.5,32.0,1.0,1.0,1.0,0.035,1.0,0.981725,1.0,200,200
15,allocation,non_adaptive,512,0.04,512.0,0.5,128.0,1.0,1.0,1.0,0.035,1.0,0.981725,1.0,200,200
15,allocation,non_adaptive,2048,0.16,2048.0,0.5,512.0,1.0,1.0,1.0,0.035,1.0,0.981725,1.0,200,200
15,allocation,adaptive,8,0.000625,8.0,0.299824,0.719207,0.636062,0.57884,0.688189,0.035,0.16,0.112087,0.218299,200,200
15,allocation,adaptive,32,0.0025,32.0,0.230377,1.735189,0.812463,0.772281,0.8539,0.035,0.435,0.365217,0.506739,200,200
15,allocation,adaptive,128,0.01,128.0,0.115205,1.737541,0.607775,0.551674,0.659087,0.035,0.11,0.070233,0.161796,200,200
15,allocation,adaptive,512,0.04,512.0,0.057761,1.746735,0.55845,0.500392,0.615389,0.035,0.06,0.031384,0.102462,200,200
15,allocation,adaptive,2048,0.16,2048.0,0.028864,1.744803,0.512275,0.454725,0.56977,0.035,0.04,0.017425,0.077292,200,200
15,allocation,band_limited_adaptive,8,0.000625,3.53,0.102449,0.04809,0.500037,0.445404,0.556419,0.035,0.035,0.014186,0.070781,200,200
15,allocation,band_limited_adaptive,32,0.0025,13.495,0.097881,0.172146,0.500238,0.443818,0.560164,0.035,0.035,0.014186,0.070781,200,200
15,allocation,band_limited_adaptive,128,0.01,55.495,0.082269,0.45746,0.50225,0.447625,0.559498,0.035,0.035,0.014186,0.070781,200,200
15,allocation,band_limited_adaptive,512,0.04,217.395,0.049604,0.597748,0.503225,0.45282,0.561857,0.035,0.035,0.014186,0.070781,200,200
15,allocation,band_limited_adaptive,2048,0.16,869.435,0.026865,0.670512,0.503588,0.445562,0.565768,0.035,0.035,0.014186,0.070781,200,200
15,level,non_adaptive,8,0.000625,8.0,0.5,2.0,0.853512,0.814438,0.890502,0.03,0.545,0.473259,0.615387,200,200
15,level,non_adaptive,32,0.0025,32.0,0.5,8.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
15,level,non_adaptive,128,0.01,128.0,0.5,32.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
15,level,non_adaptive,512,0.04,512.0,0.5,128.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
15,level,non_adaptive,2048,0.16,2048.0,0.5,512.0,1.0,1.0,1.0,0.03,1.0,0.981725,1.0,200,200
15,level,adaptive,8,0.000625,8.0,0.299824,0.719207,0.568688,0.509704,0.62333,0.03,0.08,0.046418,0.126665,200,200
15,level,adaptive,32,0.0025,32.0,0.230377,1.735189,0.659263,0.603658,0.710334,0.03,0.18,0.129369,0.240381,200,200
15,level,adaptive,128,0.01,128.0,0.115205,1.737541,0.567,0.50944,0.621294,0.03,0.045,0.02078,0.083703,200,200
15,level,adaptive,512,0.04,512.0,0.057761,1.746735,0.521362,0.468082,0.577316,0.03,0.035,0.014186,0.070781,200,200
15,level,adaptive,2048,0.16,2048.0,0.028864,1.744803,0.520363,0.462084,0.578201,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,8,0.000625,3.53,0.102449,0.04809,0.5,0.447294,0.556651,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,32,0.0025,13.495,0.097881,0.172146,0.5,0.442881,0.558319,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,128,0.01,55.495,0.082269,0.45746,0.5,0.44586,0.555942,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,512,0.04,217.395,0.049604,0.597748,0.5,0.44534,0.554993,0.03,0.03,0.011087,0.064151,200,200
15,level,band_limited_adaptive,2048,0.16,869.435,0.026865,0.670512,0.5,0.4422,0.556125,0.03,0.03,0.011087,0.064151,200,200
20,allocation,non_adaptive,8,0.000625,8.0,0.5,2.0,1.0,1.0,1.0,0.055,1.0,0.981725,1.0,200,200
20,allocation,non_adaptive,32,0.0025,32.0,0.5,8.0,1.0,1.0,1.0,0.055,1.0,0.981725,1.0,200,200
