snr,attack,fpr,detection_rate,roc_auc,pr_auc
overall,non_adaptive,0.04285714285714286,0.04285714285714286,0.5232539682539683,0.5145705108233954
overall,adaptive,0.04285714285714286,0.04285714285714286,0.5010544217687075,0.506283962172338
0,non_adaptive,0.3,0.3,0.5261111111111111,0.5369486226439681
0,adaptive,0.3,0.3,0.5244444444444445,0.536226400421746
5,non_adaptive,0.0,0.0,0.5333333333333333,0.552365153334219
5,adaptive,0.0,0.0,0.5161111111111111,0.5240426150987526
10,non_adaptive,0.0,0.0,0.5344444444444444,0.5621893251030967
10,adaptive,0.0,0.0,0.51,0.5355483558047569
15,non_adaptive,0.0,0.0,0.5583333333333333,0.5794002712865913
15,adaptive,0.0,0.0,0.5011111111111112,0.5030560942325648
20,non_adaptive,0.0,0.0,0.6616666666666667,0.6524854778945425
20,adaptive,0.0,0.0,0.5005555555555555,0.5007685881370092
25,non_adaptive,0.0,0.0,0.8288888888888889,0.841889457134463
25,adaptive,0.0,0.0,0.49944444444444447,0.5
30,non_adaptive,0.0,0.0,0.9966666666666667,0.996969696969697
30,adaptive,0.0,0.0,0.5000000000000001,0.5
