# throughput_bps assumes 30 kHz SCS: frame = 200 symbols = 7.143 ms
snr,attack,residual,bits_per_frame,throughput_bps,mean_abs_perturbation,roc_auc,auc_ci_low,auc_ci_high,detection_rate,fpr,n_per_class
5,non_adaptive,level,8,1120.0,0.5,0.505062,0.449994,0.566314,0.025,0.025,200
5,non_adaptive,allocation,8,1120.0,0.5,0.509725,0.454969,0.56725,0.06,0.055,200
5,non_adaptive,level,16,2240.0,0.5,0.517263,0.463805,0.574072,0.04,0.025,200
5,non_adaptive,allocation,16,2240.0,0.5,0.518912,0.462636,0.571086,0.07,0.055,200
5,non_adaptive,level,32,4480.0,0.5,0.528638,0.480142,0.58502,0.04,0.025,200
5,non_adaptive,allocation,32,4480.0,0.5,0.548825,0.489941,0.607477,0.105,0.055,200
5,non_adaptive,level,64,8960.0,0.5,0.581662,0.522351,0.635563,0.11,0.025,200
5,non_adaptive,allocation,64,8960.0,0.5,0.661338,0.609875,0.717306,0.215,0.055,200
5,non_adaptive,level,128,17920.0,0.5,0.750163,0.702261,0.79727,0.28,0.025,200
5,non_adaptive,allocation,128,17920.0,0.5,0.892025,0.862313,0.920352,0.625,0.055,200
5,non_adaptive,level,256,35840.0,0.5,0.914737,0.88105,0.938462,0.675,0.025,200
5,non_adaptive,allocation,256,35840.0,0.5,0.98745,0.97552,0.996708,0.965,0.055,200
5,adaptive,level,8,1120.0,0.3,0.5005,0.435782,0.558681,0.025,0.025,200
5,adaptive,allocation,8,1120.0,0.3,0.502225,0.447346,0.556607,0.055,0.055,200
5,adaptive,level,16,2240.0,0.299938,0.505713,0.44558,0.562108,0.025,0.025,200
5,adaptive,allocation,16,2240.0,0.299938,0.498925,0.445023,0.556408,0.055,0.055,200
5,adaptive,level,32,4480.0,0.295873,0.505238,0.450068,0.557208,0.025,0.025,200
5,adaptive,allocation,32,4480.0,0.295873,0.508687,0.455206,0.5577,0.06,0.055,200
5,adaptive,level,64,8960.0,0.2487,0.511025,0.461017,0.565273,0.03,0.025,200
5,adaptive,allocation,64,8960.0,0.2487,0.507912,0.45118,0.559953,0.055,0.055,200
5,adaptive,level,128,17920.0,0.177761,0.510725,0.452879,0.563873,0.025,0.025,200
5,adaptive,allocation,128,17920.0,0.177761,0.512975,0.459276,0.567253,0.055,0.055,200
5,adaptive,level,256,35840.0,0.125639,0.505138,0.449462,0.55377,0.025,0.025,200
